tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031260800,0,50,176,18,1,50,11,6,6,2,9,0,1,1,34,283,0,2,0,28,6,0,3,43,4,0,101,10,845
17031062100,0,25,125,43,3,62,29,63,0,0,3,0,0,4,22,90,0,0,1,17,16,0,11,60,4,0,266,5,849
17031051300,0,6,12,24,0,6,4,6,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,2,1,0,34,1,104
17031838300,0,15,34,5,1,26,7,9,0,0,0,0,0,0,10,20,0,3,0,15,0,0,1,14,0,1,64,2,227
17031843300,0,22,69,9,2,36,5,1,1,1,1,0,0,0,14,17,0,5,0,32,0,0,7,14,1,0,76,10,323
17031630500,5,36,105,33,2,76,3,10,1,2,4,0,1,2,61,53,0,11,0,27,0,0,17,13,2,0,67,11,542
17031740200,0,13,14,4,0,22,5,12,0,0,0,0,0,0,2,14,0,4,0,17,0,0,1,1,0,2,50,0,161
17031171000,0,24,51,51,1,64,10,13,1,0,1,0,0,0,24,17,0,1,0,28,0,0,1,10,1,0,79,0,377
17031842900,0,60,184,13,2,58,44,37,15,2,2,1,0,0,41,132,0,6,0,25,0,0,18,26,9,0,235,6,916
17031040201,0,16,61,27,2,43,6,21,1,0,0,0,1,1,23,26,0,1,0,35,1,0,5,6,2,1,77,2,358
17031260500,0,43,111,25,4,43,10,5,5,1,3,0,1,3,34,144,0,3,0,22,53,0,4,31,1,1,52,6,605
17031040202,1,14,65,21,2,54,7,16,0,1,1,1,0,2,22,24,0,1,0,36,0,0,5,5,3,0,99,0,380
17031071700,0,2,11,9,0,14,1,6,0,0,0,0,0,0,2,1,0,1,0,4,0,0,0,2,0,0,45,0,98
17031230200,1,36,92,27,0,31,7,5,0,0,2,0,0,2,23,44,0,2,0,11,3,0,10,10,0,0,32,7,345
17031430900,0,21,65,42,3,31,4,12,2,0,0,0,0,0,20,17,0,2,0,24,0,0,1,31,2,0,68,2,347
17031711200,0,41,99,77,1,67,15,18,0,3,0,0,1,0,44,66,0,6,0,51,1,0,2,39,0,0,131,13,675
17031660600,3,88,282,143,11,152,33,29,6,2,5,0,2,2,67,298,0,13,0,103,12,0,28,73,4,0,234,30,1620
17031310900,0,31,72,30,3,72,5,10,0,1,0,1,1,0,25,32,0,6,0,23,0,0,18,2,1,0,62,6,401
17031380100,1,36,69,16,1,57,13,7,2,0,1,0,0,1,13,73,0,3,0,26,0,0,3,8,0,0,63,4,397
17031241100,1,25,79,35,3,42,12,9,0,0,1,0,0,0,12,18,0,4,0,38,1,0,8,17,2,1,79,1,388
17031160601,0,8,30,23,0,41,5,6,0,0,1,0,0,1,20,9,0,0,0,25,0,0,0,3,0,0,50,1,223
17031160602,2,7,29,30,0,35,2,5,1,0,0,0,0,0,15,8,0,2,0,14,1,0,3,4,0,0,77,3,238
17031831000,1,9,14,40,0,28,2,10,0,0,1,0,0,0,23,5,1,0,0,5,0,0,1,8,1,0,88,0,237
17031410200,0,1,4,10,0,8,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,19,0,52
17031580501,2,18,104,21,3,67,6,11,0,2,4,2,1,2,43,29,0,5,0,33,1,0,30,27,6,1,35,7,460
17031580502,1,21,63,28,0,45,4,5,0,0,1,0,3,1,74,14,0,1,0,19,0,0,7,24,1,0,74,5,391
17031390600,0,8,17,4,1,26,1,8,0,0,0,0,0,0,6,3,0,1,0,7,0,0,0,8,1,0,51,1,143
17031220902,0,15,52,32,0,27,6,5,0,1,2,1,2,1,25,25,0,5,0,20,0,0,3,11,1,0,35,2,271
17031220901,0,18,68,51,1,34,6,6,0,0,1,1,1,0,18,27,0,2,0,21,1,0,0,16,2,0,28,3,305
17031190702,1,20,67,66,3,64,3,10,0,0,3,0,0,1,44,25,0,7,0,22,1,0,2,19,1,0,40,13,412
17031190701,0,10,34,32,2,25,3,6,0,0,0,0,0,1,17,28,0,3,0,17,0,0,4,7,0,0,29,3,221
17031051200,0,1,13,15,0,9,0,1,0,0,0,0,0,0,7,0,0,0,0,4,0,0,1,3,0,0,16,0,70
17031020702,4,23,59,46,2,51,5,18,0,0,1,0,0,0,21,18,1,3,0,24,1,0,4,8,1,0,63,1,354
17031020701,0,9,29,16,1,23,5,9,0,0,3,0,1,1,1,20,0,0,0,10,1,0,6,3,1,0,46,1,186
